section,description,title,brief_title,tags
Miscellaneous,"Seven historians of the Civil War and Reconstruction filed a brief in Patterson v. McLean Credit Union, a case that examined the applicability of a federal antidiscrimination statute, 42 U.S.C. § 1981, to claims of racial discrimination in the workplace. The brief urges the Court to reaffirm its earlier holding that Section 1981 bars racial discrimination in contracts between private individuals. The amici explain that this reading of the statute aligns with the original intent of the Civil Rights Act of 1866. They also contend that the Reconstruction Congress passed the act “to protect the rights of both blacks and whites, notwithstanding whether the source of a civil rights violation was a private individual, a state official, or a discriminatory state statute or local ordinance.” The brief provides important historical context to understand the act’s purpose, including the patterns of violence and terror that white Southerner inflicted on Black people who attempted to negotiate contracts or enforce their contractual rights.",Patterson v. McLean Credit Union (1989),"Brief Amicus Curiae of Eric Foner, John H. Franklin, Louis R. Harlan, Stanley N. Katz, Leon F. Litwack, C. Vann Woodward, and Mary Frances Berry","Racial Discrimination, Workplace Discrimination, Civil Rights Law"
Miscellaneous,"Four legal historians filed a brief in Honda Motor Co. v. Oberg, a case in which the Supreme Court ultimately ruled that the Oregon Constitution’s bar on judicial review of the size of punitive damages awards violated the 14th Amendment’s Due Process Clause. The brief argues that review of punitive damages awards for excessiveness “is not part of the Anglo-American legal tradition.” The amici base their analysis on a review of English common law, American colonial practice, and 19th-century American legal practice. Among other things, they emphasize that the U.S. Constitution’s original due process guarantees were “adopted . . . against a background assumption that the jury was virtually all-powerful,” and were in keeping with colonial American beliefs that judicial control over juries was tyrannical.",Honda Motor Co. v. Oberg (1994),"Brief of Legal Historians Daniel R. Coquillette, Mark M. Hager, Bruce H. Mann, and Arthur F. McEvoy as Amici Curiae","Judicial Review, 14th Amendment, Democracy, Due Process"
Miscellaneous,"Sixty-two scholars with expertise in the history of housing segregation filed a brief in Texas Department of Housing and Community Affairs v. Inclusive Communities Project, which ruled that disparate impact claims are cognizable under the Fair Housing Act of 1968 (FHA). The brief provides historical context for the federal, state, and local government policies that created racially segregated residential patterns in cities across the country. The amici argue that disparate impact claims ensure that contemporary housing policies will not perpetuate these patterns and should be permitted to advance the FHA’s objective.","Texas Department of Housing and Community Affairs v. Inclusive Communities Project, Inc. (2015)",Brief of Housing Scholars as Amici Curiae Supporting Respondent,"Housing, Racial Discrimination"
Miscellaneous,"Two scholars of the law and history of the U.S. territories, U.S. sovereignty, and Puerto Rico filed a brief in Puerto Rico v. Sánchez Valle, which ruled that the United States and Puerto Rico are not separate sovereigns for double jeopardy purposes. The brief supports the position that Puerto Rico and the United States are not separate sovereigns, notwithstanding the ratification of Puerto Rico’s Constitution in 1952. The amici explain that there is a long American tradition of distinguishing between autonomy and sovereignty, and that separate sovereignty has historically been tied to statehood. They further contend that neither Congress’s approval of Puerto Rico’s Constitution nor Puerto Rico’s extensive autonomy equate to sovereignty as understood under American law.",Puerto Rico v. Sánchez Valle (2016),Brief for Amici Curiae Professors Christina Duffy Ponsa and Sam Erman in Support of Respondents,"Fifth Amendment, Double Jeopardy, Sovereignty"
Miscellaneous,"Six legal historians filed a brief in Hernandez v. Mesa, a case arising from a U.S. Border Patrol agent’s fatal shooting of a Mexican citizen across the U.S.-Mexico border. The brief, filed in support of the Mexican citizen, argues that the Fifth Amendment’s due process protections are not limited to American citizens or inhabitants of the United States. The amici explore the early history of the Fifth Amendment’s Due Process Clause, explaining that the framers intended to protect all people from arbitrary governmental action. In addition, the brief emphasizes that the history of the formulation of the 14th Amendment’s Due Process Clause reaffirms that the “persons” entitled to constitutional due process protections include both citizens and noncitizens.",Hernandez v. Mesa (2017),Brief for Amici Curiae Legal Historians in Support of Petitioners,"Fourth Amendment, Fifth Amendment, 14th Amendment, Due Process Clause, Qualified Immunity"
Miscellaneous,"A legal historian with expertise in the history of the Constitution’s Contract Clause filed a brief in Sveen v. Melin, which ruled that the retroactive application of Minnesota’s so-called revocation-upon-divorce statute did not violate the clause. The brief argues that this statute does in fact violate the Contract Clause, both as originally understood in the founding era and as applied throughout the 19th century. The amici encourage the Court to reject its 20th-century Contract Clause jurisprudence and return to the clause’s original meaning.",Sveen v. Melin (2018),"Brief of Professor James W. Ely, Jr. as Amicus Curiae Supporting Respondent",Contract Clause
Miscellaneous,"Twelve scholars of the Fourth Amendment filed a brief in Carpenter v. United States, which ruled that the federal government’s acquisition of cell-site records without a warrant was unconstitutional. The brief analyzes the Fourth Amendment’s text and historical context, arguing, among other things, that such warrantless searches threaten the personal liberty that the framers designed the Fourth Amendment to protect.",Carpenter v. United States (2018),Brief of Scholars of the History and Original Meaning of the Fourth Amendment as Amici Curiae in Support of Petitioner,"Fourth Amendment, Search and Seizure"
Miscellaneous,"Four scholars with expertise in the constitutional implications of American territorial expansion filed a brief in Financial Oversight and Management Board for Puerto Rico v. Aurelius Investment, which ruled that the Constitution’s Appointments Clause does not restrict the appointment of members of the Financial Oversight and Management Board for Puerto Rico. The brief argues against relying on the Insular Cases — a series of early 20th-century Court opinions regarding the status of U.S. territories acquired in the Spanish-American War — to decide this case. The amici maintain that the Insular Cases do not inform the meaning or scope of the Appointments Clause. They further explain that those cases present constitutional concerns and reflect imperialist and racist thinking that should not be incorporated into contemporary legal doctrine.","Financial Oversight and Management Board for Puerto Rico v. Aurelius Investment, LLC (2020)",Brief for Amici Curiae Scholars of Constitutional Law and Legal History Supporting the First Circuit’s Ruling on the Appointments Clause Issue,Appointments Clause
Miscellaneous,"Twelve historians of Reconstruction filed a brief in Comcast Corp. v. National Association of African American-Owned Media, which ruled that a plaintiff suing for racial discrimination under the federal civil rights statute 42 U.S.C. § 1981 must prove that race was a but-for cause of the defendant’s actions. The brief argues that Section 1981 is the product of Reconstruction era efforts to dramatically expand the federal government’s authority to guarantee basic civil rights, including eliminating racial discrimination of any kind in contracts. The amici explain that but-for causation undermines the original purpose and meaning of the statute by allowing defendants to escape liability if they had any nonracial reasons for their actions. Law and History Professors’ Brief as Amici Curiae in Support of Respondents","Comcast Corp. v. National Association of African American-Owned Media and Entertainment Studios Networks, Inc. (2020)",,"Racial Discrimination, Civil Rights Law, 13th Amendment, 14th Amendment"
Miscellaneous,"Seven scholars with expertise in the history of criminal procedure filed a brief in Vega v. Tekoh, which ruled that a violation of the Miranda rule does not provide a basis for a lawsuit under the federal civil rights statute 42 U.S.C. § 1983. The brief argues that Miranda-like warnings were part of an Anglo-American legal tradition that the framers would have recognized. The amici examine 18th- and 19th-century British and American criminal court records to establish a practice of “giving warnings” to criminal suspects designed to curb “improper inducements” to self-incriminating confessions. The brief contends that this practice reflected a legal culture that “afforded very strong protections” to suspects subject to interrogation while in custody.",Vega v. Tekoh (2022),Brief of Amici Curiae Historians of Criminal Procedure in Support of Respondent,"Miranda Rights, Civil Rights, Fifth Amendment"
Miscellaneous,"Six historians of American sports filed a brief in National Collegiate Athletic Association v. Alston, which held that NCAA rules limiting how schools could compensate student athletes for their play violated federal antitrust law. The brief, in support of the student athletes, argues that the NCAA’s commitment to “amateurism in top-tier college sports is a myth.” Among other things, the amici survey the history of financial offers, favors, and payments in collegiate sports in the 19th and 20th centuries. Tag: Antitrust Law",National Collegiate Athletic Association v. Alston (2021),Brief of Historians as Amici Curiae Supporting Respondent,
Miscellaneous,"Ten legal historians filed a brief in Cedar Point Nursery and Fowler Packing Company v. Hassid, which ruled that a California regulation granting labor organizations a right to take access of an agricultural employer’s property to solicit support for unionization was unconstitutional under the Fifth Amendment’s Takings Clause. The brief, filed in support of the regulation, argues that Anglo-American law has never recognized an absolute right to exclude people from private property. The amici survey English common law, American colonial and state laws, and 18th- and 19th-century court cases to demonstrate a long tradition of making “limited rights to enter and exclude in the public interest part of the definition of property itself.”","Cedar Point Nursery and Fowler Packing Company, Inc. v. Hassid (2021)",Brief of Legal Historians as Amici Curiae in Support of Respondents,"Fifth Amendment, Takings Clause, Labor Unions"
Miscellaneous,"The Supreme Court received multiple filings from historians in Moore v. Harper, which rejected the so-called independent state legislature theory — a novel, fringe interpretation of the Constitution’s Elections Clause that would have allowed state legislatures to regulate federal elections without any of the traditional checks and balances on their lawmaking power. Ten scholars of early American history filed a brief to demonstrate that the independent state legislature theory is implausible as a historical matter. According to the amici, no evidence suggests that the framers believed in the theory, nor is it plausible that the framers would have endorsed it had they been presented with it. The brief emphasizes that the framers were wary of unchecked legislative power, and that they created the Elections Clause to limit out-of-control state legislatures. A scholar of the history of judicial review filed a brief challenging the independent state legislature theory. The brief explains that judicial review — including review of state legislation for compliance with state constitutions — was well established in the founding era and was implicit in the framers’ ideas of constitutionalism. Consequently, the brief concludes, the original meaning of the Elections Clause would permit state courts to review the laws that their legislatures make for federal elections.",Moore v. Harper (2023),Brief for Amici Curiae Scholars of the Founding Era in Support of Respondents | Brief of William M. Treanor as Amicus Curiae in Support of Respondents,"Elections Clause, Elections, Democracy"
Miscellaneous,"The Supreme Court received multiple filings from historians in Trump v. Anderson, a case that reversed a Colorado state court ruling removing of Donald Trump from the state’s 2024 presidential primary ballot under Section 3 of the 14th Amendment. Four historians of federal constitutional amendments, the laws of war, and the Civil War and Reconstruction filed a brief arguing that the original intent, meaning, and public understanding of Section 3 supports Trump’s removal. According to the brief, Congress crafted Section 3 to ensure the republic’s security by automatically disqualifying any individual who engaged in an insurrection against the Constitution, including any insurrection that might occur after the Civil War, and barring from the presidency anyone who betrayed a constitutional oath. The amici couch their analysis in a historical narrative that begins with Lincoln’s election in 1860. Twenty-five historians of the Civil War and Reconstruction filed a separate brief supporting Trump’s removal. The brief surveys the history surrounding the ratification of the 14th Amendment to argue that Congress intended Section 3 to serve as “an enduring check on insurrection,” including insurrection carried out by the sitting president. The amici also argue that Section 3 is self-executing, requiring no additional congressional action once it had been enacted. A historian of the 20th Amendment filed a brief supporting Trump’s disqualification. The brief argues that the 20th Amendment’s original public meaning does not prohibit states from disqualifying a presidential candidate prior to an election and gives Congress no power to determine whether presidential candidates are qualified.",Trump v. Anderson (2024),"Brief of Amici Curiae American Historians in Support of Respondents | Brief for Professors Orville Vernon Burton, Allan J, Lichtman, Nell Irwin Painter, James M. McPherson, Manisha Sinha, et al. as Amici Curiae in Support of Respondents | Brief of Professor Edward J. Larson as Amicus Curiae Supporting the Anderson Respondents","14th Amendment, Elections, Democracy"
Miscellaneous,"Eight legal scholars and historians filed a brief in City of Grants Pass, Oregon v. Johnson, a case that upheld a city’s law regulating camping on public property against an Eighth Amendment challenge. The brief argues that the city’s attempts to enforce that law against people who are involuntarily homeless violates that amendment’s ban on cruel and unusual punishments. The amici maintain that the city’s law is not consistent with “a history and tradition of vagrancy laws.” They explain that the law differs in its purpose, scope, and structure from English and founding era vagrancy laws. In addition, they contend that the tradition of vagrancy laws contradicts modern understandings of liberty, equality, and decency, because such laws have historically been used to punish the poor and disfavored minorities and, after the Civil War, to subjugate formerly enslaved Black men and women.","City of Grants Pass, Oregon v. Johnson (2024)","Brief of Professors William P. Quigley, Jeffrey Adler, Erwin Chemerinsky, Martha Davis, Helen Hershkoff, Stephen Loffredo, Nantiya Ruan, and Laurence H. Tribe as Amici Curiae in Support of Respondents",Eighth Amendment
Miscellaneous,"Nine scholars of tax law, legal history, and computational science filed a brief in Moore v. United States, a case that upheld the constitutionality of the mandatory repatriation tax. The brief, which supports the tax’s constitutionality, responds to the petitioners’ claim that the 16th Amendment did not authorize Congress to tax “unrealized” sums without apportionment among the states. Examining historical context relevant the original meaning of “incomes” in the text of the 16th Amendment, the amici conclude, among other things, that incomes included unrealized gains, and that contrary precedent should be overturned. They also critique assumptions by some corpus linguistics scholars that the 16th Amendment should be read in terms of its “ordinary usage in popular, nonlegal sources” rather than in a narrow, technical sense.",Moore v. United States (2024),"Brief of Amici Curiae Professors of Tax Law, Legal History, and Computational Science in Support of Respondent","16th Amendment, Tax Law"
