section,entity,year,description_html,source,tags
Habeas Corpus,Department of Homeland Security v. Thuraissigiam,2020,"Twenty-three legal historians with expertise in English and early American legal history filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/dhs-v-thuraissigiam-legal-historians.pdf"" target=""blank"">brief</a> in Department of Homeland Security v. Thuraissigiam, which ruled that a federal statute limiting habeas protections for noncitizens subject to expedited removal did not violate the Constitution's Suspension or Due Process Clauses. Writing in support of the petitioner facing removal, the amici draw on English and American legal history to demonstrate the breadth of the people and situations to which habeas protections traditionally applied. They further argue that the framers would not have empowered the federal government to override the writ simply for practical purposes or political expediency.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/dhs-v-thuraissigiam-legal-historians.pdf"" target=""blank"">Brief of Legal Historians as Amici Curiae in Support of Respondent</a>","Citizenship, Due Process Clause, Habeas Corpus, Suspension Clause, Immigration"
International Law,Kiobel v. Royal Dutch Petroleum,2013,"The Supreme Court received multiple filings from historians in Kiobel v. Royal Dutch Petroleum, a case that considered whether, under the Alien Tort Statute (ATS), corporations are immune from liability for violating the laws of nations, and whether U.S. courts have authority to hear cases based on such violations committed outside the United States. The case was reargued, leading to a second round of amicus briefing.<br><br>Nine legal historians filed a <a href=""https://www.brennancenter.org/media/14321/download/kiobel-v-royal-dutch-petroleum-legal-historians-aronstein-et-al.pdf?inline=1"" target=""blank"">brief</a> in support of corporate liability under the ATS for violations of international law. The brief argues that a corporate exemption from liability would be &quot;inconsistent with the text, history, and purpose&quot; of the ATS, which the First Congress enacted to ensure remedies for just such violations. The amici examine tort suits against English and early American corporations to substantiate their claims.<br><br><a href=""https://www.brennancenter.org/media/14321/download/kiobel-v-royal-dutch-petroleum-legal-historians-aronstein-et-al.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Professors of Legal History Barbara Aronstein Black, William R. Casto, Martin S. Flaherty, Robert W. Gordon, Nasser Hussain, Stanley N. Katz, Michael Lobban, John V. Orth, and Anne-Marie Slaughter in Support of Petitioners</a><br><br>Eighteen scholars of international trials and Nuremberg era jurisprudence filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-08/kiobel-v-royal-dutch-petroleum-nuremberg-scholars-bartov-et-al.pdf"" target=""blank"">brief</a> in support of corporate liability under the ATS. The brief argues that Nuremberg era jurisprudence supports holding corporations accountable for violations of customary international law. In particular, the amici explain how the Allied Control Council sanctioned corporations outside the courts through measures like dissolution, asset seizure, and reparations.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-08/kiobel-v-royal-dutch-petroleum-nuremberg-scholars-bartov-et-al.pdf"" target=""blank"">Brief of Amici Curiae Nuremberg Scholars Omer Bartov, Michael J. Bazyler, Donald Bloxham, Lawrence Douglas, Hilary Earl, Hon. Bruce J. Einhorn, Ret., David Fraser, Sam Garkawe, Stanley A. Goldman, Gregory S. Gordon, Kevin Jon Heller, Michael J. Kelly, Matthew Lippman, Michael Marrus, Fionnuala D. Ní Aoláin, Kim Chistian Priemel, Christoph Safferling and Frederick Taylor in Support of Petitioners</a><br><br>Six scholars with expertise in the Nuremberg trials and post-World War II legal practice filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-08/kiobel-v-royal-dutch-petroleum-nuremberg-historians-in-support-of-neither-party.pdf"" target=""blank"">brief</a> taking no position in the ultimate dispute and focusing instead on arguments raised by other amicus filings. The amici argue that the Nuremberg trials did not establish an &quot;international norm of corporate criminal liability&quot; that could support contemporary ATS claims. Among other things, the brief contends that no corporations were charged or served as defendants in the trials, and it explores the difficulties associated with drawing consistent legal principles from the conduct of the Allies toward German corporations in the postwar period.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-08/kiobel-v-royal-dutch-petroleum-nuremberg-historians-in-support-of-neither-party.pdf"" target=""blank"">Brief Amici Curiae of Nuremberg Historians and International Lawyers in Support of Neither Party</a><br><br>Five legal historians with expertise in the ATS filed a <a href=""https://www.brennancenter.org/media/14319/download/kiobel-v-royal-dutch-petroleum-brief-of-professors-of-legal-history.pdf?inline=1"" target=""blank"">brief</a> to support corporate liability under the ATS for violations of international law. The brief argues that the original text, history, and purpose of the ATS show that it offers plaintiffs recourse in the federal courts to address violations of the laws of nations, including torts committed by corporations. The amici explain, among other things, that Congress did not restrict the kinds of defendants that plaintiffs could sue, and that it used domestic common law principles to adjudicate claims against corporations for violating the laws of nations.<br><br><a href=""https://www.brennancenter.org/media/14319/download/kiobel-v-royal-dutch-petroleum-brief-of-professors-of-legal-history.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Professors of Legal History William R. Casto, Martin S. Flaherty, Robert W. Gordon, Nasser Hussain, and John V. Orth in Support of Petitioners</a><br><br>Two legal historians with expertise in the ATS filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-08/kiobel-v-royal-dutch-petroleum-brief-on-reargument-of-flaherty-and-orth.pdf"" target=""blank"">brief</a> arguing that the federal courts have jurisdiction to rule on ATS claims for torts that violate international law, regardless of the citizenship of the defendants. The amici support their assertions through an examination of the text and drafting history of the ATS, early understandings of Article III of the Constitution, and 18th-century case law.","<a href=""https://www.brennancenter.org/sites/default/files/2025-08/kiobel-v-royal-dutch-petroleum-brief-on-reargument-of-flaherty-and-orth.pdf"" target=""blank"">Brief on Reargument of Professors of Legal History and Federal Jurisdiction, Martin S. Flaherty and John V. Orth, as Amici Curiae in Support of Petitioners</a>","Alien Tort Statute, Corporate Law, International Law, Tort Law"
International Law,Jesner v. Arab Bank,2018,"Five legal historians with expertise in the Alien Tort Statute (ATS) filed a <a href=""https://www.brennancenter.org/media/14097/download/jesner-v-arab-bank-professors-of-legal-history.pdf?inline=1"" target=""blank"">brief</a> in Jesner v. Arab Bank, which ruled that the ATS does not allow lawsuits against corporations. The brief argues that the statute's text, history, and purpose allow for corporate liability. The brief explains that the founders understood that &quot;corporate liability . . . would be resolved based on common-law principles.&quot; It also analyzes historical case law to demonstrate courts' long-standing recognition of corporate liability for the torts of corporate agents - a practice that was evident in English courts' handling of cases against corporations in the 18th century, and that continued into 19th-century America with the rise of modern corporations.","Brief of Amici Curiae Professors of Legal History William R. Casto, Martin S. Flaherty, Stanley N. Katz, Samuel Moyn, and Anne-Marie Slaughter in Support of Petitioners","Alien Tort Statute, Corporate Law, International Law, Tort Law"
International Law,Federal Republic of Germany v. Philipp,2021,"Eight historians of the Holocaust and the Nuremberg trials filed a <a href=""https://www.brennancenter.org/media/14110/download/frg-v-philip-holocuast-and-nuremberg-historians.pdf?inline=1"" target=""blank"">brief</a> in Federal Republic of Germany v. Philipp, which ruled that the Foreign Sovereign Immunities Act's expropriation exception incorporates the &quot;domestic takings&quot; rule, and that Germany did not violate international law when its Nazi government coerced German Jewish art dealers to sell a collection of medieval relics. The brief, filed in support of neither party to the case, sought to provide historical context necessary to understand how the Holocaust affected the treatment of German Jewish businesspeople in the period when the relics were sold. Among other things, the amici explain that the Nazis' comprehensive persecution of Jewish people began with Hitler's ascension to power in 1933. They also document how the Nazis targeted the social, political, and economic rights of Jewish people with restrictions on employment, education, marriage, and more through 1935.","<a href=""https://www.brennancenter.org/media/14110/download/frg-v-philip-holocuast-and-nuremberg-historians.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Holocaust and Nuremberg Historians in Support of Neither Party</a>","Foreign Sovereign Immunities Act, International Law"
International Law,Nestlé USA v. Doe,2021,"Nine legal historians filed a <a href=""https://www.brennancenter.org/media/14108/download/nestle-v-doe-professors-of-legal-history_0.pdf?inline=1"" target=""blank"">brief</a> in Nestlé USA v. Doe, a case that considered whether certain domestic corporations could be held liable under the Alien Tort Statute (ATS). The brief argues that recognizing tort liability for domestic corporations aligns with the statute's history, text, and purpose. It presents records from the First Congress, the first Washington administration, and other founding era legal sources to establish that the ATS was passed and implemented to address &quot;law of nations violations in situations that involved U.S. subjects or territory.&quot;","<a href=""https://www.brennancenter.org/media/14108/download/nestle-v-doe-professors-of-legal-history_0.pdf?inline=1"" target=""blank"">Brief of Amici Curiae Professors of Legal History Barbara Aronstein Black, Nikolas Bowie, William R. Casto, Martin S. Flaherty, David Golove, Eliga H. Gould, Stanley N. Katz, Samuel Moyn, and Anne-Marie Slaughter in Support of Respondents</a>","Alien Tort Statute, Corporate Law, International Law, Tort Law"
LGBTQ+ Rights,Lawrence v. Texas,2003,"Ten historians and scholars of gender and sexuality filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/lawrence-v-texas-professor-of-history.pdf"" target=""blank"">brief</a> in Lawrence v. Texas, which ruled that a Texas law criminalizing sexual intimacy by same-sex couples violated the 14th Amendment's Due Process Clause. Arguing in support of invalidating laws like Texas's, the brief underscores that government regulation of sexual activity between members of the same sex lacks a deep historical pedigree, and that government policies discriminating against people based on their sexual orientation are part of a distinctly 20th-century project that was already being dismantled at the time of the case.","<a href=""https://www.brennancenter.org/sites/default/files/2025-02/lawrence-v-texas-professor-of-history.pdf"" target=""blank"">Brief of Professors of History George Chauncey, Nancy F. Cott, John D'Emilio, Estelle B. Freedman, Thomas C. Holt, John Howard, Lynn Hunt, Mark D. Jordan, Elizabeth Lapovsky Kennedy, and Linda P. Kerber as Amici Curiae in Support of Petitioners</a>","Due Process Clause, 14th Amendment, LGBTQ+ Rights, Sex Discrimination"
LGBTQ+ Rights,Hollingsworth v. Perry,2013,"The Supreme Court received multiple filings from historians in Hollingsworth v. Perry, which ruled that same-sex couples lacked the legal standing to challenge a California proposition limiting the state's official definition of marriage to a union between a man and a woman.<br><br>The Organization of American Historians filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/hollingsworth-v-perry-oah-aha.pdf"" target=""blank"">brief</a> supporting the challenge to the proposition on 14th Amendment grounds. Similar to the historians' brief filed in <a href=""https://www.brennancenter.org/sites/default/files/2025-02/us-v-windsor.pdf"" target=""blank"">United States v. Windsor</a> (2013), the brief recounts the long history of discrimination faced by gay and lesbian people since the founding era. It concludes with a discussion of Supreme Court case law to underscore the significance that the Court has long accorded to history in assessing equal protection claims.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-02/hollingsworth-v-perry-oah-aha.pdf"" target=""blank"">Brief of the Organization of American Historians and the American Studies Association as Amici Curiae in Support of Respondents</a><br><br>Nineteen scholars of history and other disciplines filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/hollingsworth-v-perry-scholars-of-history.pdf"" target=""blank"">brief</a> supporting the legality of the California proposition. The brief argues that the United States lacks a &quot;deeply rooted history, legal tradition, or practice of gay marriage,&quot; and that marriage has historically been &quot;an opposite-sex institution&quot; because it serves &quot;child-centered purposes.&quot;","<a href=""https://www.brennancenter.org/sites/default/files/2025-02/hollingsworth-v-perry-scholars-of-history.pdf"" target=""blank"">Amicus Curiae Brief of Scholars of History and Related Disciplines in Support of Petitioners</a>","Due Process Clause, Equal Protection Clause, 14th Amendment, LGBTQ+ Rights, Same-Sex Marriage, Sex Discrimination"
LGBTQ+ Rights,United States v. Windsor,2013,"The Supreme Court received multiple filings from historians in United States v. Windsor, which ruled the 1996 Defense of Marriage Act (DOMA) unconstitutional for denying legally married same-sex couples equal protection under the Fifth Amendment.<br><br>The Organization of American Historians and the American Studies Association filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/us-v-windsor.pdf"" target=""blank"">brief</a> in support of DOMA's challengers. The brief - similar to the one filed in <a href=""https://www.brennancenter.org/sites/default/files/2025-02/hollingsworth-v-perry-oah-aha.pdf"" target=""blank"">Hollingsworth v. Perry</a> (2013) - presents the long history of discrimination faced by gay and lesbian people since the founding era and into the 21st century. It concludes with a discussion of Supreme Court case law to underscore the significance that the Court has long accorded to history in assessing equal protection claims.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-02/us-v-windsor.pdf"" target=""blank"">Brief of the Organization of American Historians and the American Studies Association as Amici Curiae in Support of Respondent Edith Windsor</a><br><br>The American Historical Association and 23 historians of American marriage, family, and law also filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/us-v-windsor-historians-and-american-historical-association.pdf"" target=""blank"">brief</a> in support of DOMA's challengers. The brief argues that DOMA &quot;breaks with historical understanding of the state and federal roles with respect to marriage,&quot; under which the states - rather than the federal government - have defined marriage status. It also explains that the states have recognized many different purposes for marriage throughout the nation's history.","<a href=""https://www.brennancenter.org/sites/default/files/2025-02/us-v-windsor-historians-and-american-historical-association.pdf"" target=""blank"">Brief on the Merits for Amici Curiae Historians, American Historical Association, Peter W. Bardaglio, Norma Basch, George Chauncey, Stephanie Coontz, Nancy F. Cott, Toby L. Ditz, Ariela Dubler, Laura F. Edwards, Estelle B. Freedman, Sarah Barringer Gordon, Michael Grossberg, Hendrik Hartog, Ellen Herman, Martha Hodes, Linda K. Kerber, Alice Kessler-Harris, Elaine Tyler May, Steven Mintz, Elizabeth H. Pleck, Carole Shammas, Mary L. Shanley, Amy Dru Stanley, Barbara Young Welke in Support of Respondents and of Affirmance of the Judgment Below</a>","Due Process Clause, Fifth Amendment, LGBTQ+ Rights, Same-Sex Marriage, Sex Discrimination"
LGBTQ+ Rights,Obergefell v. Hodges,2015,"The Supreme Court received multiple filings from historians in Obergefell v. Hodges, the case that established same-sex couples' 14th Amendment right to marry and ruled that states must recognize same-sex marriages performed in other states.<br><br>The Organization of American Historians filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/obergefell-v-hodges-oah.pdf"" target=""blank"">brief</a> in support of same-sex marriage as a constitutionally conferred right. Like the historians' briefs filed in <a href=""https://www.brennancenter.org/sites/default/files/2025-02/us-v-windsor.pdf"" target=""blank"">United States v. Windsor</a> (2013) and <a href=""https://www.brennancenter.org/sites/default/files/2025-02/hollingsworth-v-perry-oah-aha.pdf"" target=""blank"">Hollingsworth v. Perry</a> (2013), this brief presents the long history of discrimination that same-sex couples have faced from the founding era through the present. It also explains that this history should trigger heightened scrutiny of the state law at issue, in keeping with the Court's long-standing equal protection jurisprudence.<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-02/obergefell-v-hodges-oah.pdf"" target=""blank"">Brief of the Organization of American Historians as Amicus Curiae in Support of Petitioners</a><br><br>The American Historical Association and 26 historians of marriage, family, and law filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/obergefell-v-hodges-historians-of-marriage.pdf"" target=""blank"">brief</a> in support of the constitutionality of same-sex marriage. According to the amici, the historical record demonstrates that procreation and child-rearing have never been the exclusive or even predominant purpose of marriage. The brief also surveys historical American marriage laws to show that marriage is not a static concept, but rather one that has evolved over time &quot;to reflect societal changes and judicial recognition of legal rights.&quot;<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-02/obergefell-v-hodges-historians-of-marriage.pdf"" target=""blank"">Brief of Historians of Marriage and the American Historical Association as Amici Curiae in Support of Petitioners</a><br><br>Eleven scholars of history and related disciplines filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/obergefell-v-hodges-scholars-of-history.pdf"" target=""blank"">brief</a> challenging the right to same-sex marriage. The brief argues that the &quot;traditional&quot; definition of marriage (i.e., a relationship between a man and a woman) is dominant in the country's history, tradition, and practice, reflecting the institution's purported purpose of supporting procreation and child-rearing. For these reasons, the amici maintain, restrictions on same-sex marriage are rational and constitutional.","<a href=""https://www.brennancenter.org/sites/default/files/2025-02/obergefell-v-hodges-scholars-of-history.pdf"" target=""blank"">Brief of Amici Curiae Scholars of History and Related Disciplines in Support of Respondents</a>","Due Process Clause, Equal Protection Clause, 14th Amendment, LGBTQ+ Rights, Same-Sex Marriage, Sex Discrimination"
LGBTQ+ Rights,Bostock v. Clayton County (2020); Altitude Express v. Zarda (2020); R. G. & G. R. Harris Funeral Homes v. Equal Employment Opportunity Commission,2018,"The Supreme Court received multiple filings from historians in the consolidated cases Bostock v. Clayton County, Altitude Express v. Zarda, and R.G. &amp; G.R. Harris Funeral Homes v. Equal Employment Opportunity Commission. In its eventual opinion, the Court ruled that firing someone for being gay or transgender violates Title VII of the Civil Rights Act of 1964, which prohibits discrimination against individuals &quot;because of&quot; their sex.<br><br>Nine historians with expertise in the history of gender, sexuality, and law in the United States filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/rg-gr-harris-funeral-home-v-eeoc-brief-of-historians.pdf"" target=""blank"">brief </a>supporting an interpretation of Title VII that protects people against discrimination because they are lesbian, gay, bisexual, or transgender. The brief describes how historical evidence from the first decade after Title VII's enactment illustrates that the public's understanding of the word sex and of the phrase &quot;discrimination because of . . . sex&quot; encompassed discrimination against LGBTQ+ individuals. The statute, the amici further explain, sought to support people who &quot;depart from conventional norms of masculinity and femininity.&quot;<br><br><a href=""https://www.brennancenter.org/sites/default/files/2025-02/rg-gr-harris-funeral-home-v-eeoc-brief-of-historians.pdf"" target=""blank"">Brief of Historians as Amici Curiae in Support of Employees</a><br><br>Thirty-eight scholars of LGBTQ+ rights and history filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-02/rg-gr-harris-funeral-home-v-eeoc-brief-of-law-and-history-professors.pdf"" target=""blank"">brief</a> supporting a reading of Title VII that protects transgender people from discrimination. The brief argues that the plain text of Title VII should be sufficient to conclude that discrimination because a person is transgender is legally barred. The amici further explain that the legislative record does not indicate Congress intended to exclude transgender individuals from Title VII's protections.","<a href=""https://www.brennancenter.org/sites/default/files/2025-02/rg-gr-harris-funeral-home-v-eeoc-brief-of-law-and-history-professors.pdf"" target=""blank"">Brief of Law and History Professors as Amici Curiae in Support of Respondent Aimee Stephens</a>","Civil Rights Act, Civil Rights Law, LGBTQ+ Rights, Sex Discrimination, Title VII, Workplace Discrimination"
LGBTQ+ Rights,Fulton v. City of Philadelphia,2021,"Seven historians of child welfare filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/fulton-v-philadelphia-historians-of-child-welfare.pdf"" target=""blank"">brief</a> in Fulton v. City of Philadelphia, which held that the City of Philadelphia's policy of requiring foster care agencies to certify that they would not discriminate against same-sex couples violated the agencies' rights under the Free Exercise Clause. The brief, filed in support of the policy, explains that governments have regulated child welfare since the country's founding. Among other things, the amici describe how the government grew substantially more involved in funding and regulating foster care over the past century - developing standards and systems of licensure to ensure the adequate protection of minor children and guard against discrimination by private entities in the foster care system.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/fulton-v-philadelphia-historians-of-child-welfare.pdf"" target=""blank"">Brief of Historians of Child Welfare as Amici Curiae in Support of Respondents</a>","First Amendment, Free Exercise Clause, LGBTQ+ Rights, Sex Discrimination"
LGBTQ+ Rights,United States v. Skrmetti,2025,"The American Historical Association, the Organization of American Historians, the LGBTQ+ History Association, and eight historians with expertise in the history of gender, sexuality, and medicine filed a <a href=""https://www.brennancenter.org/media/14039/download/us-v-skrmetti-aha-brief.pdf?inline=1"" target=""blank"">brief</a> in United States v. Skrmetti, a case that considered whether a Tennessee bill restricting certain medical treatments for transgender minors violated the 14th Amendment's Equal Protection Clause. The brief, filed in support of the transgender minors' right to receive treatment, explains that the medical diagnosis of gender dysphoria has been recognized, treated, and relieved through gender-affirming medical interventions for centuries. The amici further show that the medical interventions threatened by the Tennessee bill, which include surgery and hormone therapy, are &quot;well-established, mainstream forms of health care&quot; with deep historical pedigrees.","<a href=""https://www.brennancenter.org/media/14039/download/us-v-skrmetti-aha-brief.pdf?inline=1"" target=""blank"">Brief of Amici Curiae American Historical Association, Organization of American Historians, LGBTQ+ History Association, and Historian Scholars in Support of Petitioner and Respondents in Support of Petitioner</a>","Equal Protection Clause, 14th Amendment, Gender-Affirming Care, LGBTQ+ Rights, Sex Discrimination"
LGBTQ+ Rights,Little v. Hecox,2026,"Ten legal scholars and historians with expertise in the history of gender, sexuality, and LGBTQ+ rights filed a <a href=""https://www.brennancenter.org/media/14955/download/little-v-hecox-west-virginia-v-bpj-law-and-history-scholars.pdf?inline=1"" target=""blank"">brief</a> in Little v. Hecox, a case that considered whether an Idaho law limiting the participation of transgender women and girls in sports violated the 14th Amendment's Equal Protection Clause. The brief explains the long history of de jure - or official and legal - discrimination against transgender people in the United States dating back to the early 1800s. Because of this &quot;painful, persistent, 'longstanding pattern of discrimination in the law' against transgender people,&quot; the brief argues that the Court should apply heightened scrutiny to exclusionary bans targeting transgender people. This brief was also filed in West Virginia v. B.P.J. (2026).","<a href=""https://www.brennancenter.org/media/14955/download/little-v-hecox-west-virginia-v-bpj-law-and-history-scholars.pdf?inline=1"" target=""blank"">Brief of Law and History Scholars as Amici Curiae in Support of Respondents</a>","Equal Protection Clause, 14th Amendment, LGBTQ+ Rights, Sex Discrimination"
LGBTQ+ Rights,West Virginia v. B.P.J.,2026,"The Supreme Court received multiple filings from historians in West Virginia v. B.P.J., a case that considered whether Title IX of the Education Amendments of 1972 and the 14th Amendment's Equal Protection Clause prevent a state from determining participation in school sports teams based on an athletes' biological sex as determined at birth.<br><br>Ten legal scholars and historians with expertise in the history of gender, sexuality, and LGBTQ+ rights filed a <a href=""https://www.brennancenter.org/media/14955/download/little-v-hecox-west-virginia-v-bpj-law-and-history-scholars.pdf?inline=1"" target=""blank"">brief</a> challenging bans on participation based on biological sex. The brief explains the long history of de jure - or official and legal - discrimination against transgender people in the United States dating back to the early 1800s. Because of this &quot;painful, persistent, 'longstanding pattern of discrimination in the law' against transgender people,&quot; the brief argues that the Court should apply heightened scrutiny to exclusionary bans targeting transgender people. This brief was also filed in Little v. Hecox (2026).<br><br><a href=""https://www.brennancenter.org/media/14955/download/little-v-hecox-west-virginia-v-bpj-law-and-history-scholars.pdf?inline=1"" target=""blank"">Brief of Law and History Scholars as Amici Curiae in Support of Respondents</a><br><br>The Organization of American Historians, the LGBTQ+ History Association, and five historians of gender and sexuality filed a <a href=""https://www.brennancenter.org/sites/default/files/2026-01/west-virginia-v-bpj-oah.pdf?inline=1"" target=""blank"">brief</a> challenging the assertion that Title IX of the Education Amendments of 1972 does not protect transgender people because they were not well-known to the American public or Congress at the time of the statute's passage. The brief explains that historical evidence concurrent with Title IX's enactment demonstrates public and congressional awareness of transgender people. According to the brief, both medical developments to aid sex transitions and mass media coverage had established the existence of transgender people in the public consciousness decades before Title IX's passage. In addition, in the 1960s and 1970s, transgender people worked through the courts to access legal rights based on their post-transition sex, fostering ongoing public debates about how and if &quot;legal protections and social services apply to transgender people.&quot;","<a href=""https://www.brennancenter.org/sites/default/files/2026-01/west-virginia-v-bpj-oah.pdf?inline=1"" target=""blank"">Brief of the Organization of American Historians, the LGBTQ+ History Association, and Historian Scholars as Amici Curiae in Support of Respondent</a>","Equal Protection Clause, 14th Amendment, LGBTQ+ Rights, Sex Discrimination"
Miscellaneous,Patterson v. McLean Credit Union,1989,"Seven historians of the Civil War and Reconstruction filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-01/patterson-v-mclean-credit-union-eric-foner-et-al.pdf"" target=""blank"">brief</a> in Patterson v. McLean Credit Union, a case that examined the applicability of a federal antidiscrimination statute, 42 U.S.C. § 1981, to claims of racial discrimination in the workplace. The brief urged the Court to reaffirm its earlier holding that Section 1981 bars racial discrimination in contracts between private individuals. The amici explain that this reading of the statute aligns with the original intent of the Civil Rights Act of 1866. They also write that the Reconstruction Congress passed the act &quot;to protect the rights of both blacks and whites, notwithstanding whether the source of a civil rights violation was a private individual, a state official, or a discriminatory state statute or local ordinance.&quot; The brief provides important historical context to understand the act's purpose, including the patterns of violence and terror that white Southerners inflicted on Black people who attempted to negotiate contracts or enforce their contractual rights.","<a href=""https://www.brennancenter.org/sites/default/files/2025-01/patterson-v-mclean-credit-union-eric-foner-et-al.pdf"" target=""blank"">Brief Amicus Curiae of Eric Foner, John H. Franklin, Louis R. Harlan, Stanley N. Katz, Leon F. Litwack, C. Vann Woodward, and Mary Frances Berry</a>","Civil Rights Law, Racial Discrimination, Workplace Discrimination"
Miscellaneous,Honda Motor Co. v. Oberg,1994,"Four legal historians filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-01/honda-motor-co-v-oberg-legal-historians.pdf"" target=""blank"">brief</a> in Honda Motor Co. v. Oberg, a case in which the Supreme Court ultimately ruled that the Oregon Constitution's bar on judicial review of the size of punitive damages awards violated the 14th Amendment's Due Process Clause. The brief argues that review of punitive damages awards for excessiveness &quot;is not part of the Anglo-American legal tradition.&quot; The amici base their analysis on a review of English common law, American colonial practice, and 19th-century American legal practice. Among other things, they emphasize that the U.S. Constitution's original due process guarantees were &quot;adopted . . . against a background assumption that the jury was virtually all-powerful,&quot; and were in keeping with colonial American beliefs that judicial control over juries was tyrannical.","<a href=""https://www.brennancenter.org/sites/default/files/2025-01/honda-motor-co-v-oberg-legal-historians.pdf"" target=""blank"">Brief of Legal Historians Daniel R. Coquillette, Mark M. Hager, Bruce H. Mann, and Arthur F. McEvoy as Amici Curiae</a>","Due Process Clause, 14th Amendment"
Miscellaneous,Texas Department of Housing and Community Affairs v. Inclusive Communities Project,2015,"Sixty-two scholars with expertise in the history of housing segregation filed a <a href=""https://www.brennancenter.org/sites/default/files/2026-03/texas-dept-of-housing-v-inclusive-communities-project-brief-of-housing-scholars.pdf"" target=""blank"">brief</a> in Texas Department of Housing and Community Affairs v. Inclusive Communities Project, which ruled that disparate impact claims are cognizable under the Fair Housing Act of 1968 (FHA). The brief provides historical context for the federal, state, and local government policies that created racially segregated residential patterns in cities across the country. The amici argue that disparate impact claims ensure that contemporary housing policies will not perpetuate these patterns and should be permitted to advance the FHA's objective.","<a href=""https://www.brennancenter.org/sites/default/files/2026-03/texas-dept-of-housing-v-inclusive-communities-project-brief-of-housing-scholars.pdf"" target=""blank"">Brief of Housing Scholars as Amici Curiae Supporting Respondent</a>","Fair Housing Act, Housing Discrimination, Racial Discrimination"
Miscellaneous,Puerto Rico v. Sánchez Valle,2016,"Two scholars of the law and history of the U.S. territories, U.S. sovereignty, and Puerto Rico filed a <a href=""https://www.brennancenter.org/media/14148/download/puerto-rico-v-sanchez-valle-christina-duffy-ponsa-and-sam-erman.pdf?inline=1"" target=""blank"">brief</a> in Puerto Rico v. Sánchez Valle, which ruled that the United States and Puerto Rico are not separate sovereigns for double jeopardy purposes. The brief supports the position that Puerto Rico and the United States are not separate sovereigns, notwithstanding the ratification of Puerto Rico's Constitution in 1952. The amici explain that there is a long American tradition of distinguishing between autonomy and sovereignty, and that separate sovereignty has historically been tied to statehood. They further describe that neither Congress's approval of Puerto Rico's Constitution nor Puerto Rico's extensive autonomy equate to sovereignty as understood under American law.","<a href=""https://www.brennancenter.org/media/14148/download/puerto-rico-v-sanchez-valle-christina-duffy-ponsa-and-sam-erman.pdf?inline=1"" target=""blank"">Brief for Amici Curiae Professors Christina Duffy Ponsa and Sam Erman in Support of Respondents</a>","Double Jeopardy, Fifth Amendment, Sovereignty"
Miscellaneous,Hernandez v. Mesa,2017,"Six legal historians filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-07/hernandez-v-mesa-legal-historians.pdf"" target=""blank"">brief</a> in Hernandez v. Mesa, a case arising from a U.S. Border Patrol agent's fatal shooting of a Mexican citizen across the U.S.-Mexico border. The brief, filed in support of the Mexican citizen, argues that the Fifth Amendment's due process protections are not limited to American citizens or inhabitants of the United States. The amici explore the early history of the Fifth Amendment's Due Process Clause, explaining that the framers intended to protect all people from arbitrary governmental action. In addition, the brief emphasizes that the history of the formulation of the 14th Amendment's Due Process Clause reaffirms that the &quot;persons&quot; entitled to constitutional due process protections include both citizens and noncitizens.","<a href=""https://www.brennancenter.org/sites/default/files/2025-07/hernandez-v-mesa-legal-historians.pdf"" target=""blank"">Brief for Amici Curiae Legal Historians in Support of Petitioners</a>","Due Process Clause, Fifth Amendment, Fourth Amendment, 14th Amendment, Qualified Immunity"
